age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
59,services,divorced,university.degree,yes,yes,no,telephone,jul,wed,300,2,310,2,failure,0.7,101.251,-35.77,3.651,5235.3,no
47,retired,divorced,basic.4y,no,yes,no,cellular,apr,thu,330,3,999,0,nonexistent,-0.3,97.058,-39.97,4.909,5251.1,no
19,admin.,divorced,professional.course,no,no,no,cellular,jul,fri,279,1,2,0,failure,0.8,102.261,-35.01,3.921,5244.6,no
41,unknown,married,basic.6y,no,yes,no,cellular,oct,tue,93,1,999,0,nonexistent,0.9,102.974,-37.93,4.219,5241.5,no
49,student,married,university.degree,no,yes,no,cellular,dec,wed,83,4,194,1,success,-0.1,101.853,-36.73,4.801,5285.7,yes
58,entrepreneur,married,basic.6y,yes,no,yes,cellular,aug,fri,206,4,999,0,nonexistent,0.4,103.255,-37.7,4.553,5221.6,no
53,student,divorced,illiterate,no,yes,no,cellular,jun,fri,92,2,999,0,nonexistent,0.5,100.755,-33.24,4.804,5201.9,no
50,blue-collar,single,high.school,no,yes,yes,cellular,dec,thu,208,4,265,2,failure,0.1,97.688,-41.67,4.116,5205.4,yes
26,technician,divorced,basic.4y,no,yes,yes,cellular,jan,thu,339,2,999,0,nonexistent,1.2,103.356,-37.92,4.37,5283.8,yes
49,entrepreneur,married,basic.4y,no,no,no,cellular,may,mon,284,3,185,0,success,-0.2,103.522,-36.57,4.136,5208.1,no
52,services,single,unknown,no,no,yes,cellular,may,wed,70,2,226,1,success,1.2,102.29,-38.77,4.067,5213.8,yes
22,unknown,single,illiterate,no,yes,yes,cellular,nov,mon,186,2,999,0,nonexistent,-0.4,103.127,-33.98,4.825,5240.4,no
44,management,single,high.school,no,yes,no,cellular,feb,mon,175,4,17,1,success,0.3,101.923,-37.93,4.409,5207.4,yes
59,student,single,high.school,yes,no,yes,cellular,aug,tue,98,2,79,1,success,0.3,103.633,-39.01,4.778,5223.1,no
36,technician,unknown,high.school,no,yes,no,cellular,mar,fri,333,3,999,0,nonexistent,0.4,96.502,-33.7,4.929,5254.7,no
40,blue-collar,unknown,basic.4y,no,yes,no,cellular,jun,tue,164,1,355,0,failure,0.4,98.254,-40.34,4.564,5248.3,yes
33,technician,single,professional.course,no,yes,yes,telephone,mar,wed,123,4,999,0,nonexistent,-0.3,98.615,-37.49,3.649,5229.7,no
23,entrepreneur,divorced,high.school,no,no,no,cellular,dec,tue,167,1,999,0,nonexistent,0,98.584,-40.64,4.325,5216.5,no
47,technician,married,basic.4y,no,no,no,cellular,feb,tue,258,2,106,2,success,1.4,98.669,-32.97,4.616,5278.1,no
76,retired,divorced,basic.6y,no,no,no,telephone,sep,thu,235,3,147,2,failure,0.3,99.262,-36.86,4.369,5267.3,no
19,unknown,divorced,basic.4y,no,no,no,cellular,jun,mon,182,5,999,0,nonexistent,0.4,98.35,-40.44,4.347,5289.7,yes
18,unemployed,married,basic.9y,no,no,no,cellular,aug,wed,173,1,252,0,success,1.1,100.333,-40.6,3.6,5228,no
18,management,single,illiterate,no,yes,no,cellular,sep,wed,306,2,999,0,nonexistent,0.8,99.892,-34.4,4.391,5242,yes
20,student,divorced,illiterate,no,yes,no,telephone,apr,mon,304,5,190,0,failure,0.9,102.756,-34.73,4.202,5244.7,no
31,services,married,high.school,yes,yes,yes,cellular,sep,mon,162,1,999,0,nonexistent,1,103.697,-40.12,4.924,5260.2,no
20,housemaid,single,professional.course,no,no,yes,cellular,sep,fri,91,2,225,1,failure,0.5,96.701,-33.93,3.54,5224.3,no
34,unknown,married,basic.9y,no,no,no,cellular,jul,tue,318,3,999,0,nonexistent,0.8,101.485,-40.51,3.979,5274.4,no
55,technician,single,basic.9y,no,no,no,cellular,apr,tue,169,5,999,0,nonexistent,0.3,101.87,-32.08,4.386,5299.6,yes
33,unknown,single,basic.9y,no,no,yes,cellular,jan,fri,133,2,999,0,nonexistent,0.1,103.69,-37.28,4.909,5212.7,yes
22,self-employed,divorced,high.school,no,no,no,cellular,oct,mon,108,5,291,1,failure,0.4,102.002,-38.29,3.523,5250.6,no
47,blue-collar,unknown,basic.9y,no,no,no,cellular,may,mon,355,1,999,0,nonexistent,1,100.164,-41.87,4.458,5265.9,no
31,technician,divorced,professional.course,no,yes,no,telephone,jun,mon,199,2,999,0,nonexistent,0.8,103.902,-40.69,3.727,5273.3,no
28,blue-collar,married,illiterate,no,no,no,cellular,dec,wed,353,3,55,1,failure,0.2,96.856,-40.29,4.598,5206.4,yes
46,self-employed,single,basic.4y,no,yes,no,cellular,jan,thu,259,3,339,2,failure,1,102.356,-40.18,3.885,5226.5,yes
46,technician,unknown,high.school,no,no,yes,cellular,apr,thu,345,1,999,0,nonexistent,-0.1,98.179,-39.15,4.838,5248.4,no
56,housemaid,single,unknown,no,yes,yes,cellular,apr,tue,257,5,999,0,nonexistent,0.7,100.98,-37.38,4.992,5220.1,yes
43,unknown,single,basic.9y,no,yes,no,cellular,jul,tue,202,3,999,0,nonexistent,-0.1,101.11,-34.09,4.196,5290.2,no
55,unknown,unknown,illiterate,no,no,no,cellular,nov,wed,232,4,999,0,nonexistent,0.9,99.054,-37.53,3.61,5253,yes
78,entrepreneur,single,illiterate,no,yes,yes,cellular,feb,wed,290,4,999,0,nonexistent,-0.1,103.014,-32.34,4.252,5266.5,no
46,admin.,divorced,university.degree,no,yes,yes,cellular,may,wed,183,1,999,0,nonexistent,-0.2,103.806,-33.12,3.546,5288.1,no
19,student,divorced,professional.course,no,no,no,cellular,jul,tue,272,2,999,0,nonexistent,1.5,97.686,-36.3,3.971,5200.8,no
47,unemployed,unknown,basic.6y,no,yes,no,cellular,mar,fri,183,2,999,0,nonexistent,0.2,102.001,-35.4,4.572,5211.8,no
20,self-employed,unknown,basic.9y,no,no,no,cellular,apr,mon,242,2,999,0,nonexistent,-0.4,98.146,-38.26,3.684,5278.7,no
37,blue-collar,single,university.degree,no,yes,yes,cellular,sep,fri,334,3,255,2,failure,0.9,101.548,-35.49,3.659,5216.6,no
19,management,single,illiterate,no,no,no,cellular,nov,fri,292,4,999,0,nonexistent,0.5,102.475,-34.97,3.653,5284.7,yes
34,unknown,divorced,basic.4y,no,yes,yes,cellular,sep,thu,281,2,999,0,nonexistent,0.6,97.109,-38.19,3.668,5247,no
62,retired,single,professional.course,no,yes,yes,cellular,dec,fri,86,5,999,0,nonexistent,0.6,96.578,-32.5,4.941,5203.7,no
23,unemployed,unknown,basic.4y,no,no,yes,cellular,jun,tue,274,3,364,2,failure,0.8,103.74,-35.28,4.317,5231.5,yes
34,entrepreneur,divorced,unknown,no,no,no,cellular,dec,tue,288,1,214,2,failure,0.8,100.328,-39.63,3.528,5222.7,yes
80,housemaid,single,basic.9y,no,no,yes,cellular,feb,tue,212,5,999,0,nonexistent,0.9,96.011,-32.78,4.045,5295.1,no
45,student,married,basic.6y,no,yes,no,cellular,may,mon,220,1,999,0,nonexistent,0.7,101.039,-34.37,4.709,5286.1,yes
63,technician,divorced,basic.9y,no,yes,no,cellular,may,fri,120,1,120,0,failure,0.1,97.9,-37.3,4.943,5250.3,no
42,technician,unknown,high.school,no,no,no,cellular,sep,fri,186,4,231,2,failure,-0.1,99.119,-37.94,4.29,5238.6,no
20,unknown,single,university.degree,no,yes,no,cellular,jun,fri,357,2,999,0,nonexistent,0.2,96.984,-35.92,3.528,5218.5,yes
36,technician,unknown,basic.9y,no,no,yes,cellular,may,tue,124,2,4,2,success,0.4,100.552,-38.87,4.703,5293.4,no
56,housemaid,single,basic.9y,no,no,no,cellular,may,thu,336,5,999,0,nonexistent,0.2,102.64,-34.44,3.801,5222.9,yes
53,retired,married,basic.6y,no,no,no,cellular,jul,mon,331,1,999,0,nonexistent,0.1,102.144,-33.29,4.658,5297.6,no
26,services,divorced,basic.4y,no,yes,yes,cellular,dec,wed,111,2,338,1,failure,-0.1,99.412,-38.88,4.806,5252.7,no
55,technician,divorced,university.degree,no,yes,yes,cellular,dec,thu,305,2,999,0,nonexistent,1.2,102.27,-34.39,4.349,5241.9,no
20,blue-collar,single,professional.course,no,yes,yes,cellular,nov,fri,122,4,999,0,nonexistent,0.1,99.058,-40.17,4.072,5201.4,no
85,housemaid,divorced,illiterate,no,no,no,cellular,apr,wed,309,1,999,0,nonexistent,0.1,102.372,-33.07,5,5280.1,no
55,services,married,unknown,no,yes,no,cellular,jun,tue,194,3,999,0,nonexistent,0.2,102.78,-34.88,4.541,5205.6,no
18,unemployed,unknown,basic.6y,no,no,yes,cellular,jan,tue,108,2,41,2,failure,0.8,97.903,-40.13,4.853,5217.7,no
89,retired,divorced,illiterate,no,no,no,telephone,jun,mon,284,5,999,0,nonexistent,0,98.124,-38.72,4.398,5268,yes
49,entrepreneur,single,high.school,no,no,no,cellular,apr,mon,83,4,999,0,nonexistent,0.4,102.662,-34.39,4.891,5234.9,no
62,technician,unknown,basic.9y,no,no,no,cellular,jan,tue,162,5,134,0,failure,-0.3,100.381,-32.07,4.512,5259.3,no
39,self-employed,single,basic.9y,no,yes,yes,cellular,jan,thu,194,1,999,0,nonexistent,-0.4,96.923,-34.58,4.553,5272.8,no
36,unknown,single,basic.4y,no,yes,no,cellular,jun,fri,62,2,112,2,failure,1.3,100.334,-32.32,4.279,5212.1,yes
48,admin.,single,basic.4y,no,no,no,cellular,jun,fri,132,3,207,2,failure,1.3,103.361,-32.82,4.146,5245.5,no
45,entrepreneur,married,professional.course,no,yes,yes,cellular,nov,wed,296,1,301,1,failure,0.5,97.261,-34.44,4.862,5248.7,yes
36,student,single,basic.9y,no,no,no,telephone,mar,fri,298,2,999,0,nonexistent,0.1,100.021,-33.39,4.787,5211.8,yes
39,student,married,university.degree,no,yes,no,cellular,aug,tue,155,2,999,0,nonexistent,-0.2,99.126,-34.86,4.718,5276.1,no
39,blue-collar,single,unknown,no,yes,yes,cellular,apr,thu,122,5,999,0,nonexistent,0.7,101.651,-41.83,3.504,5241.5,no
19,admin.,divorced,illiterate,no,no,yes,cellular,dec,tue,186,2,235,1,success,0.3,98.514,-38.95,3.785,5283.8,yes
53,admin.,divorced,professional.course,no,yes,no,cellular,jul,fri,277,4,999,0,nonexistent,0.6,99.269,-32.89,3.511,5293.4,no
43,management,unknown,basic.4y,no,yes,yes,cellular,mar,thu,280,1,141,0,failure,1.1,100.927,-34.5,4.554,5236.4,no
21,housemaid,unknown,basic.9y,no,no,no,cellular,jun,wed,148,2,999,0,nonexistent,1.2,101.049,-33.8,3.784,5277.4,no
58,unemployed,married,university.degree,no,no,yes,cellular,apr,mon,336,4,200,0,failure,0.6,99.278,-34.54,4.252,5248,no
38,technician,divorced,illiterate,no,no,no,cellular,dec,mon,110,3,999,0,nonexistent,0.6,98.002,-37.4,4.34,5230.3,no
39,blue-collar,married,basic.6y,no,yes,no,cellular,jun,thu,241,4,999,0,nonexistent,1.3,99.501,-37.31,4.647,5222.5,no
51,admin.,married,professional.course,no,no,yes,cellular,mar,fri,242,4,999,0,nonexistent,0.3,96.621,-40.5,3.983,5224.3,yes
27,student,divorced,basic.4y,no,no,yes,cellular,oct,tue,326,2,999,0,nonexistent,1.4,101.046,-41.51,3.506,5242.2,no
33,student,married,university.degree,no,no,yes,cellular,sep,tue,67,4,999,0,nonexistent,1,96.653,-38.58,4.561,5289.1,no
31,student,divorced,high.school,no,yes,no,cellular,feb,wed,129,2,275,0,failure,-0.3,103.53,-41.82,3.581,5294.4,no
40,technician,married,illiterate,no,yes,no,cellular,oct,wed,293,4,999,0,nonexistent,0.6,103.003,-32.64,4.345,5285.6,no
25,self-employed,single,basic.4y,no,yes,yes,cellular,aug,wed,68,4,328,1,success,1.3,100.389,-32.35,4.217,5247.3,no
42,technician,divorced,high.school,no,no,yes,cellular,nov,fri,262,3,999,0,nonexistent,-0.2,99.183,-36.13,3.606,5269.8,no
65,blue-collar,single,university.degree,no,no,yes,cellular,feb,tue,330,1,999,0,nonexistent,1.2,96.151,-37.64,4.406,5226.6,yes
27,self-employed,married,university.degree,no,no,yes,cellular,nov,mon,73,5,999,0,nonexistent,-0.5,98.666,-32.88,4.83,5285.5,no
19,housemaid,unknown,unknown,yes,no,yes,cellular,jul,thu,312,3,999,0,nonexistent,-0.2,102.991,-33.15,4.117,5266.6,no
30,unemployed,unknown,professional.course,no,no,no,cellular,mar,tue,213,4,999,0,nonexistent,0.4,100.523,-33.53,3.544,5256.8,yes
40,housemaid,married,illiterate,no,no,no,cellular,jun,wed,115,4,99,1,failure,1,97.89,-35.05,4.98,5245.4,no
85,technician,unknown,basic.4y,no,yes,yes,cellular,sep,fri,241,4,999,0,nonexistent,1.1,100.056,-38.62,3.614,5254.5,yes
35,housemaid,married,unknown,no,no,yes,cellular,feb,fri,293,4,22,1,success,1,97.119,-39.05,4.196,5286.2,no
53,housemaid,married,professional.course,no,yes,no,cellular,jul,mon,333,1,999,0,nonexistent,0.1,100.586,-41.87,4.504,5224.9,no
57,student,single,unknown,no,no,no,cellular,jun,mon,219,4,7,2,failure,0.7,96.839,-35.35,4.393,5249,no
31,unknown,unknown,professional.course,no,no,no,cellular,aug,thu,130,5,999,0,nonexistent,0.1,100.326,-35.25,4.798,5227.6,no
47,technician,unknown,professional.course,no,no,yes,cellular,aug,mon,215,5,199,0,failure,0.3,97.936,-34.14,4.962,5246.7,yes
34,unemployed,single,basic.4y,no,yes,no,cellular,aug,mon,69,2,285,1,failure,1,98.233,-42,4.411,5228,yes
45,blue-collar,unknown,professional.course,no,no,no,cellular,feb,wed,336,4,224,1,success,0.8,98.847,-34.55,4.446,5225.8,no
26,management,unknown,basic.6y,no,no,no,telephone,mar,fri,140,4,999,0,nonexistent,1,98.233,-32.75,4.156,5295.7,no
22,retired,married,illiterate,no,no,yes,telephone,mar,thu,326,1,203,0,failure,1.1,97.382,-33.02,4.462,5257.3,no
58,blue-collar,divorced,unknown,no,yes,no,cellular,jun,wed,302,4,999,0,nonexistent,-0.5,97.185,-33.71,4.834,5293.9,no
74,housemaid,married,basic.4y,yes,yes,yes,cellular,dec,wed,184,4,999,0,nonexistent,0.8,98.302,-35.9,4.299,5284.2,no
26,student,married,unknown,no,no,no,cellular,mar,tue,155,3,999,0,nonexistent,1.2,96.813,-38.76,4.914,5211.6,no
28,housemaid,divorced,unknown,no,yes,no,cellular,nov,thu,120,3,344,1,failure,0.2,97.413,-36.49,4.612,5206.3,no
49,services,divorced,basic.4y,no,no,no,cellular,dec,mon,252,1,999,0,nonexistent,0.1,103.172,-41.22,4.861,5240.5,no
33,self-employed,divorced,basic.4y,no,no,yes,cellular,may,wed,262,5,999,0,nonexistent,1.2,100.73,-41.04,4.528,5219,no
29,services,married,high.school,no,no,no,cellular,feb,fri,221,5,999,0,nonexistent,-0.2,96.212,-38.48,3.992,5297,no
57,entrepreneur,divorced,professional.course,no,no,no,cellular,aug,mon,67,4,999,0,nonexistent,1.4,100.603,-40.05,4.72,5238.5,yes
36,unknown,single,illiterate,no,yes,no,cellular,mar,mon,153,1,999,0,nonexistent,0.6,101.451,-34.93,4.975,5260.5,no
31,self-employed,divorced,illiterate,no,yes,yes,telephone,mar,mon,144,2,999,0,nonexistent,0.7,100.725,-32.77,3.593,5213.2,no
34,services,divorced,professional.course,no,yes,yes,cellular,aug,fri,161,3,999,0,nonexistent,0.9,99.097,-40.34,4.55,5266.6,no
21,services,single,professional.course,no,yes,no,cellular,feb,fri,245,2,999,0,nonexistent,1.3,101.26,-37.91,4.191,5204.4,no
44,unknown,single,basic.4y,no,no,no,cellular,mar,thu,352,1,999,0,nonexistent,-0.1,101.629,-39.77,3.919,5291.9,no
26,blue-collar,married,basic.6y,no,no,yes,cellular,nov,thu,285,4,999,0,nonexistent,-0.2,103.435,-34.07,4.177,5281.4,no
27,technician,divorced,illiterate,no,no,no,cellular,dec,mon,266,2,999,0,nonexistent,-0.5,99.599,-38.31,4.117,5249.6,no
29,services,unknown,professional.course,no,no,yes,cellular,mar,fri,147,4,193,2,success,1.4,100.818,-38.87,4.372,5270.1,no
36,services,unknown,unknown,no,no,no,cellular,nov,fri,184,2,131,1,failure,-0.5,102.433,-38.03,4.642,5238.9,no
48,student,married,professional.course,no,no,no,cellular,jul,thu,205,5,999,0,nonexistent,0.2,100.354,-38.85,3.605,5220.8,no
28,self-employed,unknown,illiterate,yes,no,yes,cellular,sep,thu,328,3,999,0,nonexistent,1.4,96.675,-38.32,4.821,5290.8,no
22,services,unknown,basic.4y,no,yes,no,cellular,jul,fri,241,2,999,0,nonexistent,0.2,96.233,-40.64,4.041,5219,yes
49,self-employed,unknown,high.school,no,yes,no,cellular,feb,thu,118,2,999,0,nonexistent,0.6,101.292,-35.06,4.846,5243.9,no
32,management,unknown,basic.9y,no,no,no,cellular,sep,fri,352,1,999,0,nonexistent,1.5,98.916,-35.75,3.523,5269.5,no
20,services,divorced,unknown,no,no,no,telephone,sep,wed,204,4,159,1,success,0.4,100.663,-34.22,4.937,5290.7,no
40,blue-collar,single,basic.6y,no,no,yes,cellular,apr,mon,145,5,999,0,nonexistent,0.5,101.906,-33.07,4.077,5207.8,yes
90,student,single,university.degree,no,yes,no,cellular,sep,fri,256,4,999,0,nonexistent,-0.5,97.474,-35.45,4.527,5299,yes
46,housemaid,divorced,illiterate,no,no,no,telephone,oct,tue,321,2,75,2,success,1.4,97.371,-34.24,3.793,5285.6,no
43,blue-collar,unknown,unknown,no,no,yes,cellular,jun,tue,212,2,999,0,nonexistent,0.7,96.664,-32.98,4.309,5297.1,yes
57,unknown,divorced,high.school,no,yes,yes,cellular,nov,wed,352,1,999,0,nonexistent,-0.4,102.755,-40.26,4.111,5249,no
26,entrepreneur,single,professional.course,no,yes,no,cellular,dec,tue,161,1,999,0,nonexistent,-0.4,99.755,-37.91,4.741,5290,no
35,student,unknown,illiterate,no,no,no,cellular,nov,wed,346,4,999,0,nonexistent,1.4,100.491,-40.96,3.592,5297.7,no
43,self-employed,married,unknown,yes,yes,no,cellular,aug,mon,230,1,999,0,nonexistent,-0.4,102.56,-38.62,4.691,5270.1,no
49,housemaid,divorced,professional.course,yes,yes,yes,cellular,jun,wed,73,3,999,0,nonexistent,0.2,103.899,-33.68,3.601,5238.7,no
76,student,married,basic.4y,no,no,yes,cellular,nov,wed,151,1,999,0,nonexistent,0.5,103.625,-41.22,4.099,5218.5,no
50,services,unknown,high.school,no,no,no,cellular,dec,wed,329,2,999,0,nonexistent,1,96.249,-41.19,4.534,5279.6,no
38,self-employed,single,basic.9y,no,yes,no,cellular,may,mon,105,1,999,0,nonexistent,0.1,101.15,-33.79,4.683,5226.5,no
35,student,single,basic.9y,no,yes,no,cellular,feb,thu,205,4,999,0,nonexistent,1,98.425,-39.41,4.447,5223.4,no
44,self-employed,single,illiterate,no,yes,no,telephone,mar,tue,77,4,999,0,nonexistent,1.3,101.273,-35.96,4.263,5211.5,no
82,management,unknown,university.degree,no,yes,no,cellular,nov,thu,129,1,287,1,failure,0.9,100.125,-41.97,4.358,5207.6,no
48,blue-collar,unknown,illiterate,no,yes,yes,cellular,aug,fri,60,3,139,1,success,0.2,103.895,-33.42,3.936,5249.5,no
45,admin.,divorced,illiterate,no,yes,no,cellular,mar,tue,94,2,999,0,nonexistent,0.3,100.264,-39.36,4.883,5275.6,no
57,unemployed,unknown,illiterate,no,yes,no,telephone,feb,wed,110,2,999,0,nonexistent,0.1,103.313,-41.37,4.482,5262.1,no
32,unemployed,divorced,basic.6y,no,yes,no,cellular,nov,wed,181,4,999,0,nonexistent,0.8,96.384,-41.9,4.084,5209.4,no
51,retired,divorced,basic.4y,no,yes,yes,cellular,oct,wed,126,3,999,0,nonexistent,0.6,101.91,-36.42,4.43,5256.3,yes
63,unknown,married,illiterate,no,yes,no,cellular,jun,thu,90,5,999,0,nonexistent,0.6,100.846,-38.32,4.593,5248.5,no
59,management,divorced,basic.9y,no,yes,no,cellular,oct,mon,226,2,999,0,nonexistent,0.6,99.359,-39.26,4.747,5227.8,no
25,self-employed,unknown,unknown,no,no,no,cellular,mar,fri,174,3,999,0,nonexistent,1.3,99.443,-41.76,4.645,5228,no
28,admin.,married,high.school,no,no,yes,cellular,sep,tue,164,5,266,0,success,-0.3,101.923,-38.63,4.142,5216.3,no
82,student,unknown,university.degree,no,yes,yes,cellular,aug,tue,137,2,97,0,failure,-0.4,101.533,-40.53,4.526,5291.3,yes
36,entrepreneur,unknown,illiterate,no,yes,no,cellular,feb,thu,220,5,999,0,nonexistent,0.2,103.314,-35.95,4.296,5265.5,yes
52,unemployed,married,high.school,no,yes,yes,cellular,jul,wed,264,5,40,1,failure,1.1,102.909,-38.02,4.369,5255.8,yes
29,technician,married,illiterate,no,yes,no,telephone,sep,thu,146,5,999,0,nonexistent,0.8,99.433,-37.07,3.53,5263.6,no
81,technician,married,university.degree,no,yes,yes,cellular,apr,thu,356,2,999,0,nonexistent,0.2,102.881,-39.03,4.443,5298,no
42,admin.,single,unknown,no,yes,no,cellular,mar,fri,229,1,999,0,nonexistent,1.1,100.555,-33.1,4.807,5258.4,no
25,housemaid,unknown,university.degree,no,no,no,cellular,nov,fri,310,1,110,1,success,1.1,98.728,-41.95,4.59,5250.7,yes
18,admin.,single,basic.9y,no,yes,no,telephone,jul,fri,128,2,999,0,nonexistent,0.6,96.161,-39.34,3.79,5276.4,no
27,unknown,unknown,university.degree,no,no,yes,cellular,aug,tue,258,2,999,0,nonexistent,0.4,97.411,-33.17,4.654,5262.9,no
78,entrepreneur,single,basic.9y,no,no,no,telephone,feb,fri,101,4,999,0,nonexistent,0.4,103.018,-35.52,3.554,5257.2,yes
48,retired,single,professional.course,no,yes,no,cellular,may,wed,316,2,273,1,success,1.2,102.44,-34.9,3.796,5260.3,no
41,entrepreneur,married,basic.6y,no,yes,yes,telephone,jun,fri,347,5,133,2,failure,1,101.412,-41.62,4.012,5286.4,no
28,blue-collar,married,high.school,no,no,no,cellular,aug,wed,316,1,101,2,success,0.7,103.316,-38.79,4.203,5286,yes
33,technician,married,university.degree,no,no,no,cellular,sep,thu,161,4,999,0,nonexistent,1.3,102.098,-38.3,4.733,5296.4,no
84,unemployed,unknown,basic.6y,no,no,no,cellular,dec,mon,72,4,999,0,nonexistent,0.9,99.06,-41.88,4.51,5261.7,no
24,admin.,married,high.school,no,no,no,cellular,nov,mon,119,4,187,1,success,0.5,98.319,-37.61,4.133,5210.8,no
48,blue-collar,unknown,illiterate,no,no,yes,cellular,may,fri,152,4,297,2,success,0.5,96.807,-39.16,4.758,5227.9,no
31,self-employed,married,basic.4y,no,no,no,cellular,feb,fri,259,2,999,0,nonexistent,1,99.166,-41.49,4.38,5248.8,no
45,blue-collar,divorced,professional.course,no,yes,no,cellular,oct,wed,283,1,186,1,failure,-0.5,99.193,-34.95,4.95,5272.1,yes
45,unknown,unknown,professional.course,no,yes,yes,cellular,apr,fri,170,3,999,0,nonexistent,0.5,103.407,-39.74,3.854,5276.3,no
52,unemployed,married,basic.9y,no,yes,yes,cellular,mar,mon,223,3,999,0,nonexistent,0.7,99.277,-37.69,4.805,5222.8,yes
19,management,unknown,high.school,yes,yes,no,cellular,may,fri,65,2,999,0,nonexistent,0.4,96.044,-38.96,4.774,5227,no
46,unknown,unknown,high.school,no,yes,no,cellular,oct,thu,78,3,999,0,nonexistent,0.1,98.301,-34.43,4.963,5283.3,no
24,admin.,married,professional.course,no,yes,no,cellular,aug,thu,85,3,999,0,nonexistent,1.2,100.459,-34.26,3.942,5245.8,no
20,student,married,illiterate,no,yes,no,cellular,jul,mon,143,4,999,0,nonexistent,0.9,99.696,-41.71,4.258,5201.8,no
44,retired,unknown,university.degree,yes,no,yes,cellular,oct,tue,136,1,999,0,nonexistent,-0.4,99.682,-32.92,4.028,5219.3,no
63,retired,married,professional.course,no,yes,no,cellular,jan,mon,340,2,999,0,nonexistent,0.8,96.041,-37.8,4.686,5244.2,yes
26,unemployed,divorced,university.degree,no,no,no,cellular,jan,fri,82,5,999,0,nonexistent,-0.3,103.381,-37.84,4.624,5294.9,yes
32,entrepreneur,single,unknown,no,no,yes,cellular,jun,tue,205,1,999,0,nonexistent,0.8,101.385,-32.11,3.884,5273.6,yes
54,retired,unknown,professional.course,no,no,no,cellular,mar,tue,121,2,999,0,nonexistent,-0.4,102.394,-32.73,4.97,5214.5,no
35,entrepreneur,divorced,basic.4y,no,no,yes,cellular,sep,tue,63,2,104,0,failure,-0.5,96.866,-35.9,4.883,5252.3,yes
33,technician,divorced,university.degree,no,yes,no,cellular,dec,wed,61,4,999,0,nonexistent,0,96.648,-34.56,4.654,5267.1,yes
39,entrepreneur,married,university.degree,no,no,no,cellular,nov,tue,237,2,333,2,failure,-0.3,100.625,-40.11,4.519,5238.5,no
88,housemaid,single,illiterate,yes,no,no,cellular,jun,mon,62,1,999,0,nonexistent,0.7,101.332,-35.65,4.394,5225.3,no
23,unknown,single,university.degree,no,yes,yes,telephone,nov,tue,243,3,260,2,success,0.3,101.261,-38.98,3.803,5290.7,yes
43,management,single,basic.6y,no,yes,no,cellular,mar,tue,62,4,999,0,nonexistent,0.9,101.108,-41.53,4.434,5278,no
32,entrepreneur,single,illiterate,no,no,no,cellular,jun,tue,210,4,999,0,nonexistent,0.8,101.825,-34.52,3.589,5274.6,no
26,admin.,single,basic.9y,no,no,yes,cellular,feb,tue,223,1,999,0,nonexistent,0.4,99.8,-36.65,4.15,5210.7,no
55,retired,married,basic.4y,no,yes,yes,cellular,mar,fri,121,3,999,0,nonexistent,0.2,103.305,-41.68,4.825,5256.8,no
